,tags
51,nummod compound nsubj prep det pobj prep det pobj aux ROOT dobj acl mark det nsubjpass auxpass ccomp aux xcomp dobj prep pobj prep det amod compound pobj punct cc conj
52,det nsubj aux ROOT det dobj prep det compound compound pobj punct det appos dobj det nsubj relcl prep poss pobj punct
53,compound nsubj punct nmod compound nmod amod compound appos punct ROOT npadvmod aux advcl prep compound compound compound compound poss case pobj punct
54,poss case nsubjpass aux auxpass ROOT prep det pobj punct
55,nsubjpass aux auxpass ROOT agent compound pobj prep pobj punct nsubj aux relcl det attr amod quantmod nummod npadvmod punct
56,advmod det amod nsubj advcl punct nsubjpass auxpass ROOT aux xcomp det compound attr prep pobj punct
57,det compound nsubj aux ROOT prt poss nummod dobj npadvmod cc conj prep pobj punct advmod nsubj prep det compound compound pobj nsubj relcl aux ccomp advmod punct
58,prep pobj compound npadvmod punct det nsubjpass auxpass ROOT aux xcomp det dobj prep det pobj prep pobj acl prep amod cc conj pobj aux advcl det nsubjpass aux auxpass ccomp punct
59,compound nsubjpass auxpass ROOT aux xcomp det amod dobj prep det pobj mark nsubj advcl prep pobj punct
60,nsubj advmod aux ROOT det quantmod compound nummod compound compound dobj acl advmod prep det pobj prep poss amod compound pobj punct
61,compound ROOT
62,advmod punct nsubjpass auxpass ROOT det compound compound nsubj ccomp advmod acomp pcomp acomp aux xcomp det amod quantmod compound nummod dobj prep compound compound pobj punct
63,det compound nsubj aux ROOT prep det compound pobj prep det amod compound pobj aux advcl det dobj prep det pobj punct cc advmod det nsubj aux conj cc nsubj conj prep pobj dobj prep pobj prep poss case advmod advmod amod pobj punct
64,det compound compound nsubj ROOT expl advmod ccomp det attr advmod aux xcomp quantmod quantmod quantmod quantmod quantmod quantmod compound nummod dobj prep compound compound compound pobj prep amod compound compound pobj punct
65,det amod ROOT
66,det nsubj advmod ROOT aux xcomp det compound compound dative det amod dobj prep pobj amod nsubjpass aux auxpass relcl det npadvmod det nsubjpass prep det amod pobj auxpass relcl prt agent compound pobj punct
67,nsubj ROOT poss dobj prep pobj prep pobj prep det pobj prep det pobj prep det pobj prep quantmod compound nummod pobj prep amod amod compound pobj acl agent pcomp compound compound pobj punct
68,det compound compound nsubj ROOT det dobj punct advmod punct mark nsubjpass aux neg auxpass ccomp advmod prep det pobj aux acl det amod amod compound dobj punct
69,compound compound compound compound compound nsubj aux ROOT det dobj npadvmod prep det pobj aux advcl det poss case dobj prep pobj prep pcomp dobj det nmod nummod prep pobj dobj prep compound pobj punct
70,nsubj ROOT compound npadvmod expl ccomp attr auxpass acl prep mark det punct punct nmod punct nsubjpass prep det pobj aux auxpass pcomp advmod cc mark nsubj aux conj aux advmod auxpass xcomp det nsubjpass prep det pobj aux auxpass ccomp punct
71,mark advcl mark amod nsubjpass auxpass neg advmod ccomp prt punct nsubj ROOT poss nsubj aux ccomp aux xcomp prt det compound dobj dobj det nsubj relcl prep pobj punct prep punct
72,det amod ROOT acl prep det pobj agent det pobj prep pobj punct prep punct
73,prep prep compound pobj punct expl ROOT det attr prep det pobj auxpass acl advmod aux advcl det dobj punct
74,nsubj ROOT prt mark compound nsubj amod npadvmod ccomp det amod dobj aux acl nsubj aux ccomp prep compound pobj prep amod compound pobj punct
75,det compound compound compound nsubj aux ROOT det compound dobj npadvmod aux xcomp amod dobj prep pobj punct dobj nsubj aux advmod relcl prep det pobj punct
76,compound compound nsubj prep pobj aux ROOT det dobj prep det compound pobj aux punct punct advmod amod amod dobj prep amod pobj punct prep mark amod nsubjpass auxpass pcomp cc conj punct prep compound pobj punct
77,nsubj punct nsubj relcl prep poss amod pobj prep det pobj punct ROOT advmod punct punct ccomp det attr prep poss amod pobj prep pobj nsubj aux relcl aux xcomp dobj punct det nsubj punct parataxis punct punct
78,cc nsubj ROOT mark nsubj prep poss case pobj advmod ccomp dobj aux xcomp det dobj punct
79,det nsubjpass punct dobj nsubj relcl prep det compound pobj npadvmod punct aux auxpass advmod ROOT npadvmod punct
